,Name,Unnamed: 0,MRN,Legal gender,DOB,Telephone,SSN,Doctors Name,patients_adress,Doctors Address,Health Plan Number,Date of Visit,Admission Type,Test Results,Billing Account Number,RN,Language spoken,Language written,Email,Marital status,symptoms,Contact Person Name,Date of Discharge
4825,Bradley Barnett,4825,8330107130,Male,2002-03-23,+1906-454-5282,502-98-1385,Angela Smith,"422 Robert Station Danielleland, SD 43620","090 Hodge Wall East Jacquelinefurt, KY 33387",HPB-62303,2020-06-24,Emergency,Abnormal,#647945,Richard Lewis,English,,Bradley.Barnett@gmail.com,Divorced,cough,Johnny Cooper (fiancee),2020-07-08
4826,Kara Stephens,4826,7123187642,Female,1979-08-29,+1956-792-8320,396-21-3503,Alyssa Nguyen,"7842 Cheryl Brooks Suite 939 North Jeremy, PW 56389","140 Mitchell Burgs Suite 130 Carterberg, LA 59207",HPB-94565,2020-08-02,Urgent,Abnormal,#207701,Nicole Garcia,Arabic,English,Kara.Stephens@yahoo.com,Divorced,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby",Theresa Friedman (girlfriend),2020-08-07
4827,Gloria Richard,4827,7024532066,Female,2005-04-30,+1707-887-9128,767-75-5926,Jessica Baker,"227 Sanchez Creek Apt. 080 Carterside, ND 13566","PSC 7991, Box 6589 APO AA 16048",HPB-36467,2022-10-13,Elective,Abnormal,#474532,Michael Ray,English,,Gloria.Richard@gmx.com,Married,"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting","Nicole Richard (father), Amber Richard (mother)",2022-10-16
4828,Derek Ortiz,4828,4030157691,Male,1998-02-06,+1878-209-5734,796-57-6532,Amanda Murphy,"48866 Cuevas Squares Suite 350 Nelsonport, OH 52014","47666 Carr Curve North Joseph, VI 24962",HPB-51936,2021-05-13,Urgent,Normal,#753071,Thomas Graves,English,,Derek.Ortiz@yahoo.com,Single,"fever, cough, fatigue and difficulty breathing",Nicole Mcintosh (fiancee),2021-05-24
4829,Patricia Ross,4829,4009870622,Female,1939-01-17,+1937-376-1264,822-44-3898,Susan Mcclure,"1891 Timothy Light Suite 574 New Loganport, WY 19347","49582 Jessica Fall Apt. 249 Jasonside, AS 59263",HPB-86642,2022-05-18,Emergency,Inconclusive,#577473,Dr. Dawn Yates,English,,Patricia.Ross@dhl.com,Married,"Joint pain, stiffness, swelling",Jacob Brewer (fiancee),2022-05-31
4830,Alex Tucker,4830,6544075574,Male,1972-02-10,+1970-445-7563,897-42-3056,Adam Fitzpatrick,"437 Greene Square South Lisa, GU 04228","3235 Cochran Loop Suite 872 Jameston, MH 35865",HPB-80962,2022-09-07,Urgent,Normal,#815531,Karen Meyers,English,,Alex.Tucker@gmx.com,Single,"Fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance",Julie Owens (friend),2022-10-06
4831,Donald Robbins,4831,4251894661,Male,1999-04-03,+1717-850-6577,893-88-5079,Amanda Watson,"033 Tammy Trace Apt. 271 Hallburgh, GU 40336","427 Barry Mountain Suite 635 Claytonview, ME 48541",HPB-47004,2020-10-16,Urgent,Abnormal,#267096,Robert Elliott,Arabic,English,Donald.Robbins@aol.com,Single,fatigue,Gina Mcguire (friend),2020-11-09
4832,Stacie West,4832,7349356087,Female,1982-03-19,+1260-831-1149,963-44-8937,Neil Taylor,"14044 Lopez Mission Suite 589 South Michaelstad, NJ 32566",USCGC Robertson FPO AP 27891,HPB-95453,2022-12-28,Elective,Inconclusive,#396739,Gerald Peterson,English,,Stacie.West@gmx.com,Divorced,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby",Gregory Davis (friend),2023-01-11
4833,Cheryl Wilson,4833,8231488151,Female,1978-05-10,+1408-315-7962,261-70-8682,Meghan Harrison,"97874 Kristy Skyway Suite 350 North Jenniferville, DC 23524","46629 Martin Valleys Apt. 743 Davidchester, KY 22870",HPB-46194,2022-04-21,Elective,Normal,#245434,Jeffrey Tucker,English,,Cheryl.Wilson@gmail.com,Divorced,cough,Shannon Torres (fiancee),2022-05-09
4834,Wayne Small,4834,4051659680,Male,1954-07-07,+1573-530-9246,711-28-2570,Angela Brown,"7467 Brown Parkway Suite 252 East Ryan, AL 82150","950 Nathan Causeway Matthewmouth, IA 12620",HPB-91560,2024-01-06,Emergency,Abnormal,#318666,Helen Porter,English,,Wayne.Small@gmx.com,Single,"cough, fatigue and difficulty breathing",Michael Thompson (fiancee),2024-01-11
4835,Tiffany Phillips,4835,4878490800,Female,1960-10-28,+1979-356-9185,375-60-6967,Sarah Dominguez,"1920 Daniels Mall South Robertberg, OK 11944","50666 Nancy Roads Suite 987 North Barbara, UT 29009",HPB-96547,2022-12-10,Emergency,Abnormal,#864688,Kevin Knox,Italian,English,Tiffany.Phillips@web.com,Single,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",Kyle Robinson (girlfriend),2023-01-03
4836,Shannon Norris,4836,4111678213,Female,1955-07-27,+1217-221-5686,669-47-5816,Melinda Clarke,"2173 Michelle Fords North Joseshire, WV 61390","27973 Danielle Inlet Port Jennifer, MD 87757",HPB-89985,2021-02-10,Urgent,Normal,#242736,Mason Goodman,English,,Shannon.Norris@dhl.com,Married,High blood pressure during pregnancy,Gregory Preston (friend),2021-02-27
4837,Larry Freeman,4837,5673044022,Male,1959-07-19,+1281-435-6114,130-24-2980,Darius Mccarthy,"51140 Samantha Alley Westshire, CA 40227","5547 Porter Glen Apt. 368 Richardsonton, MI 52392",HPB-70329,2021-06-12,Elective,Inconclusive,#453752,Jeremiah Benitez,English,,Larry.Freeman@dhl.com,Single,"Fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance",Victoria Huerta (fiancee),2021-06-15
4838,Rick Aguirre,4838,6619614115,Male,1971-01-03,+1813-141-1508,531-29-6757,Melissa May,"577 Wright Tunnel Apt. 383 Davidfurt, VA 76886",Unit 4514 Box 4370 DPO AP 75735,HPB-28986,2020-08-15,Emergency,Inconclusive,#150898,Gloria Quinn,English,,Rick.Aguirre@yahoo.com,Widowed,"Frequent urination, Increased thirst, Weight loss",Amanda Thornton (friend),2020-08-16
4839,Patrick Little,4839,1583709506,Male,1971-02-17,+1203-439-8614,521-98-6706,Laura Romero,"61927 Allen Haven New Gregory, NC 42148","049 Price Views Suite 377 West Zacharyborough, NV 56282",HPB-45722,2022-07-18,Urgent,Normal,#514320,Joshua Graham,English,,Patrick.Little@dhl.com,Single,cough,Marissa Smith (girlfriend),2022-08-07
4840,Kathleen Herrera,4840,8941430677,Female,1961-01-12,+1534-291-3361,727-89-7001,Jeremy Hall,"89857 Reyes Village Suite 243 New James, PR 61113","44013 Perez Ranch Apt. 542 Robertchester, VI 31000",HPB-69897,2023-02-01,Elective,Inconclusive,#754891,Kevin Carrillo,English,,Kathleen.Herrera@gmx.com,Single,Elevated intraocular pressure without optic nerve damage,David Hernandez (friend),2023-02-15
4841,Scott Kaiser,4841,6923661105,Male,1980-01-10,+1814-919-4329,199-52-8081,Roger Chapman,"7274 Torres Ridges West Christopherfort, NM 31878","81921 Dawn Trace Suite 157 Pattersontown, MI 96228",HPB-77628,2022-07-06,Elective,Inconclusive,#390890,Chloe Estrada,English,,Scott.Kaiser@gmail.com,Married,fatigue,Kristen Turner (girlfriend),2022-07-26
4842,Stephanie Peterson,4842,8820734290,Female,1949-05-13,+1602-665-1934,608-11-9792,Ashley Stone,"0414 Lee Pine Jessicaborough, MT 97096","24042 Sherri Club Lake Wendyberg, NY 94295",HPB-81369,2023-10-25,Elective,Inconclusive,#119175,Danielle Mejia,English,,Stephanie.Peterson@gmx.com,Single,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Daniel Miller (fiancee),2023-11-02
4843,Shelley Rush,4843,6346589096,Female,1956-03-30,+1212-405-4822,580-80-4398,Steven Armstrong,"5708 Amanda Island Apt. 785 Mckinneyport, NM 85369","2037 Olivia Knoll Suite 645 New Tylerhaven, IA 76856",HPB-67954,2022-04-13,Elective,Inconclusive,#717831,Randy Hogan,Russian,English,Shelley.Rush@web.com,Single,fatigue,Amy Butler (girlfriend),2022-04-22
4844,Elizabeth Daugherty,4844,2314730408,Female,1950-02-10,+1458-291-3579,200-43-6223,Johnny Price,"013 Robinson Isle Reillyton, PA 60342",USNS Walker FPO AP 86491,HPB-85967,2021-03-24,Urgent,Abnormal,#599072,James Ellis,English,,Elizabeth.Daugherty@web.com,Married,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Stephen Lee (friend),2021-03-31
4845,Jaime Cannon,4845,2547452106,Female,2000-02-05,+1971-639-5101,756-51-9969,Joseph Sutton,"207 Debra Villages Gailstad, GU 36795","0505 Sherman Isle Beckshire, MS 43757",HPB-49282,2023-03-21,Elective,Abnormal,#184364,Andrew Moore,English,,Jaime.Cannon@brown.com,Single,"Recurrent, disabling migraines",Mary Campos (fiancee),2023-03-22
4846,Kari Hall,4846,1725988760,Female,1943-02-09,+1717-434-8828,857-92-2431,Bobby Reid,"1581 Carla Crossroad Suite 460 Patricialand, AL 56129","64763 Ramirez Drive New Davidtown, WV 32525",HPB-22570,2023-08-18,Emergency,Abnormal,#179512,Michelle Scott,English,,Kari.Hall@web.com,Single,"Cough, fever, chest pain, difficulty breathing",April Reynolds (friend),2023-09-12
4847,Heather Graham,4847,1109645093,Female,1999-01-29,+1458-514-1632,524-91-2637,Bradley Parrish,"1451 Rodriguez Road Apt. 091 Port Baileyborough, NM 12286",Unit 1255 Box 9863 DPO AE 41396,HPB-21594,2023-05-27,Elective,Abnormal,#447434,Casey Ross,English,,Heather.Graham@brown.com,Single,fatigue,Thomas Fletcher (fiancee),2023-06-23
4848,Brandi Davis,4848,2259232460,Female,1993-08-09,+1219-502-4661,164-43-3540,Cynthia Henderson,USNS Reynolds FPO AP 78167,"499 Baker Place Suite 167 Lake Juliestad, GA 97813",HPB-64066,2022-08-24,Emergency,Abnormal,#471755,James Stephens,English,Spanish,Brandi.Davis@brown.com,Single,fatigue,Amber Gonzalez (fiancee),2022-08-26
4849,Hayley Rios,4849,8699967650,Female,1957-03-05,+1570-569-5740,508-13-7314,Raymond Tran,"6632 Thomas Circles Suite 515 Petersonton, IN 98672","155 Elizabeth Points Kevinbury, MP 42165",HPB-42534,2022-08-01,Elective,Abnormal,#916233,Ross Nguyen,German,English,Hayley.Rios@gmx.com,Divorced,"fever, cough and fatigue",Jason Hernandez (friend),2022-08-07
4850,Maurice Adams,4850,5585983131,Male,1960-02-17,+1206-540-3492,498-83-7456,Margaret Watson,"756 Parks Roads Suite 883 New Marychester, MP 57718","1248 Young Route Marquezville, DE 45359",HPB-41069,2023-12-17,Emergency,Inconclusive,#909770,Kimberly Miller,English,,Maurice.Adams@aol.com,Widowed,"Fragile bones, loss of height over time, back pain, fractures",Tara Burton (fiancee),2024-01-09
4851,Walter Mcpherson,4851,1005235764,Male,1957-02-16,+1845-986-1075,194-36-2163,Christopher Brown,Unit 1645 Box 8617 DPO AP 03256,"PSC 3899, Box 2055 APO AE 31868",HPB-49664,2019-12-20,Urgent,Normal,#290764,William White,English,,Walter.Mcpherson@web.com,Married,fatigue,Sarah Gonzales (friend),2020-01-17
4852,Jessica Bird,4852,8440699197,Female,1985-02-25,+1210-908-7200,347-51-5985,Joshua Hernandez,"552 Johnson Corners Suite 579 Perezport, WV 11797","7001 James Expressway Burchview, NH 36669",HPB-13401,2024-01-06,Emergency,Inconclusive,#390787,Brittney Espinoza,English,,Jessica.Bird@dhl.com,Single,"High fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies",Anthony Nelson (friend),2024-01-14
4853,Brandi Jones,4853,1685876605,Female,2005-04-11,+1919-320-7013,759-47-3443,David Nguyen,"00439 Jackson Stravenue Clarktown, ME 51144","864 Christina Mountains Apt. 419 Youngchester, VA 83073",HPB-21132,2019-10-14,Urgent,Normal,#125377,Jessica Lang,Russian,English,Brandi.Jones@gmail.com,Divorced,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise","Lawrence Jones (father), Sandra Jones (mother)",2019-11-06
4854,Kathleen Perez,4854,7467002121,Female,1956-07-24,+1817-961-5754,177-28-3024,Sara Ochoa,"7935 Albert Run South Paulastad, TX 71406","0583 Devin Falls East Thomas, MI 39589",HPB-60540,2021-11-14,Elective,Normal,#779745,Michaela Stout,English,,Kathleen.Perez@gmail.com,Single,fatigue,Whitney Thomas (fiancee),2021-12-03
4855,Rebecca Hall,4855,2413357817,Female,1994-05-25,+1904-749-1058,745-91-9617,Jodi Gonzalez,"0450 Clark Fords Apt. 750 Michaelmouth, CT 30312","4636 Aguilar Avenue Apt. 483 Rodriguezstad, NE 56218",HPB-73701,2020-03-19,Elective,Inconclusive,#291290,Mark Morales,English,,Rebecca.Hall@yahoo.com,Widowed,"Fatigue, weakness, pale skin",Donald Harper (friend),2020-03-29
4856,Gary Deleon,4856,7990193443,Male,1949-05-20,+1720-510-8611,944-27-8555,Dale Reynolds,"19796 Larson Divide Rodriguezstad, NJ 89174","2689 Diaz Ford East Alan, MT 88975",HPB-12839,2022-06-03,Urgent,Normal,#336437,Connie Glover,English,,Gary.Deleon@gmail.com,Single,"Fragile bones, loss of height over time, back pain, fractures",Tyler Holt (fiancee),2022-06-14
4857,Thomas Smith,4857,5933750198,Male,2002-05-25,+1774-105-2146,989-48-3188,Robert Reyes,"2753 Allison Crossroad Jeffreyville, AS 80203","186 Jennifer Dam Apt. 620 Joshuaville, MD 81035",HPB-40169,2023-06-19,Urgent,Normal,#139384,Robin Friedman,English,,Thomas.Smith@gmx.com,Married,fatigue,Sarah Brooks (fiancee),2023-06-27
4858,Taylor Cisneros,4858,8263654767,Female,1957-08-14,+1352-474-7541,277-70-1177,Anita Graham,"964 Conner Haven New Sonya, WI 55306","879 Keith Isle New Jasonchester, VT 17978",HPB-91820,2020-10-25,Elective,Inconclusive,#810977,Mr. John Hall,English,,Taylor.Cisneros@yahoo.com,Single,"Severe headaches, nausea, sensitivity to light and sound",Jason Johnson (fiancee),2020-11-19
4859,Sean Olsen,4859,9843899821,Male,1983-01-10,+1743-577-9306,814-34-1359,Philip Dixon,"6237 Lauren Glens Apt. 720 Floydmouth, GU 96017","346 Garrett Estate Suite 041 Lake Scottstad, ME 74594",HPB-27709,2024-01-13,Emergency,Normal,#375122,Jeremy Wiggins,English,,Sean.Olsen@gmail.com,Single,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",Stephen Mercado (fiancee),2024-02-03
4860,Lauren Perez,4860,4051619471,Female,1953-08-20,+1409-685-4902,814-16-5940,Kimberly Hughes,"560 Sherry Club Allisontown, AK 55083","895 Craig Station Suite 657 South Tyler, MS 87716",HPB-34515,2022-05-15,Elective,Normal,#594031,Benjamin Bailey Jr.,English,Spanish,Lauren.Perez@gmail.com,Single,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",Amanda Davis (friend),2022-05-24
4861,Richard Martin,4861,8255599089,Male,1947-08-28,+1678-926-6251,933-24-3831,Daniel Norton,"0499 Sandra Rue Apt. 933 South Jose, PW 13991",Unit 7402 Box 2990 DPO AP 70242,HPB-84390,2021-07-01,Elective,Abnormal,#643992,Matthew Snow,English,,Richard.Martin@aol.com,Divorced,fatigue,Debra Huffman (girlfriend),2021-07-05
4862,John Weaver,4862,6759382217,Male,2003-09-14,+1507-420-2909,500-91-5444,David Martin,"03424 James Locks Melindaberg, AR 67460","5844 Keith Port Apt. 951 Mooreport, KS 24995",HPB-27472,2021-07-10,Emergency,Normal,#788113,Larry Fleming,English,,John.Weaver@brown.com,Single,"Recurrent, disabling migraines","Belinda Weaver (father), Heather Weaver (mother)",2021-07-12
4863,Brenda Perez,4863,8690409531,Female,2025-02-11,+1610-107-9441,495-14-1035,Nicholas Guzman,USNV Taylor FPO AE 67021,"9258 Rogers Estate Apt. 321 New Robert, VA 99798",HPB-68524,2025-02-28,Emergency,Inconclusive,,Nancy Alexander,English,,Brenda.Perez@gmx.com,Single,fever,"Cody Perez (father), Douglas Perez (mother)",
4864,Judith Ford,4864,6231939028,Female,1946-01-24,+1413-548-6546,370-48-3410,Adam Newton,"22621 Megan Overpass Apt. 989 East Lisa, SC 87532","451 Wright Skyway Apt. 072 South Amy, AZ 02666",HPB-38997,2022-01-06,Emergency,Normal,#461006,David Hawkins,English,Spanish,Judith.Ford@yahoo.com,Divorced,"Severe headaches, nausea, sensitivity to light and sound",Mark Glenn (friend),2022-01-17
4865,Zachary Brown,4865,5955009453,Male,1979-01-08,+1703-276-4303,174-25-3640,Miss Wendy Rodriguez DVM,"1663 Robert Hollow Suite 167 New Joseph, NE 46717","254 Tyler Lodge West Isabel, OH 08269",HPB-27568,2022-03-04,Elective,Normal,#585184,Erik Rodriguez,English,,Zachary.Brown@aol.com,Married,fever and cough,Eric Gaines (friend),2022-03-18
4866,Melissa Smith,4866,4120352154,Female,1996-07-17,+1830-590-5730,807-81-1718,Brian Carr,"PSC 4088, Box 2518 APO AA 17436","3970 Bailey Alley Suite 980 Mendozaland, UT 64387",HPB-75679,2023-07-16,Emergency,Inconclusive,#111890,Lindsay Garrison,English,,Melissa.Smith@aol.com,Single,"Lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape",Jeanette Brown (girlfriend),2023-08-15
4867,Dennis Scott,4867,4541005862,Male,2025-05-20,+1903-361-2369,746-94-8956,Gregory Kaufman,"20188 Anderson Landing Suite 358 South Debrafort, GU 49783","13437 Andrea Estates Suite 622 New Nathaniel, AS 50969",HPB-45302,2025-06-24,Urgent,Normal,,Joshua Peterson Jr.,English,,Dennis.Scott@dhl.com,Single,cough,"Richard Scott (father), Lucas Scott (mother)",
4868,Kim Hull,4868,5327942181,Female,1989-08-05,+1216-391-4392,698-37-9334,Dustin Williams,"37507 Pamela Cliffs Port Rogertown, AZ 49379","29761 Stanley Centers Suite 476 Walkerfort, AR 55480",HPB-63737,2021-03-14,Elective,Normal,#370531,Derrick Cummings,English,,Kim.Hull@brown.com,Married,"Severe headaches, nausea, sensitivity to light and sound",Joshua Vincent (fiancee),2021-03-16
4869,Alexandra Casey,4869,7183495065,Female,1952-01-15,+1629-595-6915,224-43-8137,Melissa Garcia,"16144 Randy Village Suite 926 New Jose, UT 82254","00473 Morgan Stravenue Suite 766 Davisview, WI 11826",HPB-78520,2019-06-11,Emergency,Inconclusive,#431012,Jennifer Patterson,English,,Alexandra.Casey@gmail.com,Divorced,"Fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance",Vickie Davis (fiancee),2019-06-16
4870,Jennifer Jones,4870,2105566249,Female,2000-03-03,+1920-337-5233,662-61-9154,Nicholas Williams,"84730 Rodriguez Loop South Kelly, MN 30638","980 Bryan Common Suite 756 New Erictown, VA 36115",HPB-46152,2020-01-08,Emergency,Abnormal,#371256,Matthew Ray,English,,Jennifer.Jones@aol.com,Single,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby",Cheryl Horn (fiancee),2020-01-17
4871,Lisa Mccullough,4871,4051820162,Female,1980-06-28,+1707-785-7081,433-79-7435,Jane Green,"657 Delacruz Spur West Christinahaven, AR 32726","631 Joe Land Lake Taylorton, CO 36016",HPB-50279,2019-08-30,Urgent,Normal,#588264,Rebecca Cooper,English,,Lisa.Mccullough@aol.com,Single,"Severe headaches, nausea, sensitivity to light and sound",Angela Bishop (fiancee),2019-09-12
4872,Gary Sanders,4872,7843854404,Male,1950-01-10,+1262-840-5534,591-35-3046,Larry Thomas,USCGC Diaz FPO AA 09546,"2537 Murphy Row Apt. 002 South Dustin, IN 03151",HPB-58286,2021-09-23,Emergency,Normal,#977636,Erin Cole,English,,Gary.Sanders@brown.com,Single,fatigue,Jennifer Wagner (girlfriend),2021-10-06
4873,Jody Oconnor,4873,1733706740,Female,1944-08-14,+1513-391-9742,375-29-9676,Aaron Mitchell,"7186 Kelly Fields Allenstad, OH 95150","8251 Wilson Ford Suite 160 Jesseland, MP 99387",HPB-69465,2021-09-09,Urgent,Abnormal,#192238,Sarah Wright,English,,Jody.Oconnor@yahoo.com,Single,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",Richard Stevens (friend),2021-10-06
4874,Corey Frazier,4874,1123563972,Male,1945-02-15,+1612-998-3565,283-77-9830,Denise Soto,"11050 Jackson Glens Suite 858 West Megan, DC 67360","856 Stephen Field Lake Jenniferland, TN 68368",HPB-51282,2020-03-10,Urgent,Normal,#865352,Dylan Jackson,English,,Corey.Frazier@brown.com,Single,"cough, fatigue and difficulty breathing",Jacqueline Reed (friend),2020-04-07
4875,Tammy Larson,4875,5684671484,Female,1972-01-18,+1386-724-3287,660-26-3311,Tyler Ross,"3716 Travis Cape North Danielmouth, TX 36931","0651 Coleman Burg Suite 346 Roberttown, MS 36823",HPB-69539,2023-01-25,Elective,Inconclusive,#815160,Jonathan Burns,English,,Tammy.Larson@yahoo.com,Married,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby",Jeanne Douglas (fiancee),2023-02-22
4876,Kayla Franklin,4876,2408367165,Female,1980-04-03,+1857-239-9206,890-94-9261,Hunter Torres,"44908 Griffith Trafficway Suite 225 Oneillville, DE 86000","9686 Alyssa Islands South Craig, ID 33348",HPB-94836,2022-12-12,Emergency,Normal,#888956,Joseph Wilson,English,,Kayla.Franklin@gmail.com,Divorced,"Fragile bones, loss of height over time, back pain, fractures",Tyrone Cross (girlfriend),2022-12-21
4877,Brenda Morris,4877,5788825617,Female,2001-04-30,+1210-131-7765,867-20-1914,Gregory Jackson,USS Mays FPO AE 35580,"193 Lopez Junction Ruizfurt, TN 79678",HPB-24663,2023-01-23,Urgent,Normal,#685727,Amanda Fernandez,English,,Brenda.Morris@aol.com,Single,"Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice","Jason Morris (father), Alex Morris (mother)",2023-02-18
4878,Daniel Johnson,4878,6478789457,Male,1966-01-06,+1262-143-3169,864-22-8158,Patrick Steele,"2493 Bradley Square Jenniferhaven, HI 02637","7580 Edwards Fort Amandachester, VA 06490",HPB-23949,2024-02-20,Urgent,Inconclusive,#122783,Daniel King,English,,Daniel.Johnson@web.com,Widowed,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Anthony Perkins (fiancee),2024-03-02
4879,Kellie Montoya,4879,4506543497,Female,1952-01-13,+1534-382-4029,952-62-4684,April Martin,Unit 7025 Box 7072 DPO AE 46313,"83169 Antonio Causeway Apt. 928 New Sheenaburgh, NY 73173",HPB-79008,2020-07-19,Elective,Inconclusive,#844163,Amanda Smith,English,,Kellie.Montoya@aol.com,Single,fever and fatigue,David Shepherd (friend),2020-07-23
4880,Adrienne Bishop,4880,2268280003,Female,1963-01-10,+1281-289-8216,327-75-7214,Jessica Shaw,"4830 Morrison Mills Apt. 000 New Aaronview, WI 31587","5598 Philip Bypass Mathewsmouth, MN 29188",HPB-75402,2021-07-31,Urgent,Inconclusive,#629420,Tiffany Delgado,English,,Adrienne.Bishop@brown.com,Single,,Steven Clay (fiancee),2021-08-21
4881,Kim Hull,4881,5327942181,Female,1989-08-05,+1216-391-4392,698-37-9334,Joanne Hardy,"42617 Moore Wall Lake Randy, NH 61696","75347 Jordan Spring Apt. 544 Lake Yesenia, TX 35247",HPB-63737,2021-06-22,Urgent,Normal,#804400,Cory Clements,English,,Kim.Hull@brown.com,Married,fatigue,Kara Singleton (friend),2021-07-03
4882,Donna Watts,4882,9862076690,Female,1964-01-29,+1828-127-7393,194-12-5583,Bryan Sparks,"86487 Monica Keys New Scott, AL 75213","PSC 2302, Box 7388 APO AA 42650",HPB-68725,2021-06-28,Emergency,Normal,#735989,Justin Gray,English,,Donna.Watts@gmail.com,Divorced,"Cough, fever, chest pain, difficulty breathing",Brianna Henderson (friend),2021-07-19
4883,Lisa Molina,4883,9484027453,Female,2002-01-15,+1734-985-8949,957-20-6545,Laura Flynn,"33820 Edwards Station Suite 644 Davisburgh, NV 79437","66374 Larson Crest Apt. 878 South Kayla, VT 12922",HPB-28966,2021-09-16,Emergency,Abnormal,#588794,Erica Cole,English,,Lisa.Molina@gmx.com,Single,fever and fatigue,"Justin Molina (father), Morgan Molina (mother)",2021-09-24
4884,Kara Stephens,4884,7123187642,Female,1979-08-29,+1956-792-8320,396-21-3503,Kenneth Anderson,"33721 Davis Curve South Marthaberg, ID 04607","61866 Tara Island Apt. 686 Port Mary, VT 78775",HPB-94565,2023-12-29,Emergency,Normal,#413716,Brad Johnson,Arabic,English,Kara.Stephens@yahoo.com,Divorced,fatigue,Dennis Ryan (friend),2024-01-05
4885,Erin Smith,4885,9780138953,Female,1970-04-08,+1269-185-3376,810-95-6601,Robert Vega,"820 Gill Common Suite 367 Lake Miranda, UT 72748","0586 Kelly Ways Suite 603 East Justin, MP 14314",HPB-91843,2021-06-18,Elective,Inconclusive,#977790,Stephanie Hartman,English,Spanish,Erin.Smith@aol.com,Single,"High fever, body aches, fatigue, cough, sore throat, congestion",Michael Ingram (girlfriend),2021-07-04
4886,Kevin Martinez,4886,7544378161,Male,1953-01-04,+1570-857-2911,181-61-3679,Rebecca Hudson,USNV Nolan FPO AE 16284,"90527 Jason Gardens Suite 119 Doylebury, OH 98183",HPB-44146,2021-09-29,Elective,Abnormal,#579492,Amanda Gibson,English,,Kevin.Martinez@web.com,Divorced,"Joint pain, stiffness, swelling",Shawn Frazier (friend),2021-10-22
4887,Kevin Lucero,4887,2708151392,Male,1976-01-07,+1936-821-8301,377-41-6871,Dennis Perez,"1467 Kim Trail Suite 499 Reynoldsland, ME 90712","PSC 9013, Box 2469 APO AE 81384",HPB-63432,2024-05-02,Elective,Inconclusive,#697216,Jeffrey Sparks,English,,Kevin.Lucero@brown.com,Married,"Fragile bones, loss of height over time, back pain, fractures",Kathleen Walker (friend),2024-05-29
4888,John Parsons,4888,4935592306,Male,1955-07-15,+1559-157-4342,752-79-3044,Ariel Morgan,"6114 Jason Inlet Apt. 516 Corybury, SD 21716","45076 Meredith Passage North Brandon, VA 33834",HPB-66533,2019-08-25,Elective,Inconclusive,#311224,Amanda Brown,Arabic,English,John.Parsons@dhl.com,Single,"Fragile bones, loss of height over time, back pain, fractures",Richard Ryan (girlfriend),2019-08-28
4889,Matthew Stewart,4889,3473953055,Male,2025-02-11,+1682-411-5760,355-32-1154,Victor Hernandez,"35763 Kelly Circle Port Stephenmouth, PR 44343","6737 Samantha Stravenue Suite 879 South Sylviaside, VA 29883",HPB-78631,2025-05-06,Elective,Abnormal,,Sarah Alvarez,English,,Matthew.Stewart@dhl.com,Single,fever,"Melanie Stewart (father), William Stewart (mother)",
